data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-07-08 17:21:49.440247;0;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Matthew Turner;masculino;dinheiro
2025-07-08 19:50:51.036246;1;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Jack Jones;masculino;boleto
2025-07-08 21:23:50.064112;2;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Martin Yang;masculino;dinheiro
2025-07-08 23:37:47.881016;3;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Jerome Canales;masculino;dinheiro
2025-07-09 00:03:47.789429;4;São Paulo;Ana Oliveira;Smartwatch Garmin;Jeremiah Powers;masculino;boleto
2025-07-09 01:08:51.936463;5;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Garfield Miguel;masculino;cartão de crédito
2025-07-09 16:04:52.511771;6;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Judy Barrera;feminino;dinheiro
2025-07-09 21:49:53.468754;7;Florianópolis;Tiago Lima;Notebook Dell Inspiron;David Wirth;masculino;pix
2025-07-10 00:42:48.896538;8;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Vivian Grimes;feminino;boleto
2025-07-10 15:32:52.726075;9;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Bryon Crayton;masculino;boleto
2025-07-10 16:38:48.386275;10;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Van Stone;masculino;pix
2025-07-10 17:09:49.321699;11;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Sherry Nash;feminino;cartão de crédito
2025-07-10 18:21:52.371631;12;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Franklin Parrish;masculino;dinheiro
2025-07-10 19:23:51.546887;13;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Willie Larsen;masculino;cartão de crédito
2025-07-10 20:00:50.678826;14;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Carmen Blank;feminino;boleto
2025-07-10 20:23:48.318289;15;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Ralph Smith;masculino;dinheiro
2025-07-10 20:26:50.216674;16;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Patrick Slane;masculino;boleto
2025-07-10 21:05:52.880928;17;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Glen Garcia;masculino;cartão de crédito
2025-07-10 21:08:48.616450;18;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;George Davis;masculino;dinheiro
2025-07-10 22:12:50.797286;19;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Tanner Toro;masculino;boleto
2025-07-10 22:21:49.987138;20;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Betty Adair;feminino;boleto
2025-07-11 00:18:51.504751;21;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Micheal Deyoe;masculino;boleto
2025-07-11 00:55:50.103864;22;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Barbara Mitchell;feminino;boleto
2025-07-11 14:50:48.995869;23;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Amanda Randle;feminino;cartão de crédito
2025-07-11 15:09:50.653629;24;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Timothy Flemming;masculino;boleto
2025-07-11 15:57:50.540703;25;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Stephen Alexander;masculino;pix
2025-07-11 16:55:55.137826;26;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Michael Arroyo;masculino;pix
2025-07-11 17:26:51.048034;27;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Rosanne Gillespie;feminino;boleto
2025-07-11 17:43:49.350630;28;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Dora Waters;feminino;cartão de crédito
2025-07-11 19:03:54.832642;29;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Deborah Diaz;feminino;dinheiro
2025-07-11 22:17:49.848533;30;Florianópolis;Tiago Lima;Smartwatch Garmin;Dennis Lautenschlage;masculino;dinheiro
2025-07-11 22:41:55.366669;31;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Dee Glenn;feminino;dinheiro
2025-07-12 00:10:49.469685;32;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Michael Roberts;masculino;cartão de crédito
2025-07-12 01:14:55.410897;33;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Marian Brown;feminino;cartão de crédito
2025-07-12 18:25:53.030408;34;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Kent Petros;masculino;pix
2025-07-12 19:53:52.243150;35;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Shirley Eckert;feminino;boleto
2025-07-13 15:10:50.034872;36;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Stewart Walker;masculino;pix
2025-07-13 15:27:47.465307;37;São Paulo;Lucas Pereira;Smartwatch Garmin;Dale Feldman;masculino;dinheiro
2025-07-13 18:15:51.326731;38;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Cheryl Cutler;feminino;cartão de crédito
2025-07-13 19:05:52.799943;39;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;John Nealey;masculino;boleto
2025-07-13 19:32:50.378351;40;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Helena Waters;feminino;cartão de crédito
2025-07-13 21:27:52.266978;41;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Claude Engelbrecht;masculino;boleto
2025-07-14 14:41:54.645903;42;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Dennis Lebo;masculino;boleto
2025-07-14 16:32:53.759472;43;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Angelo Jones;masculino;dinheiro
2025-07-14 18:17:50.205639;44;Florianópolis;Gabriela Santos;Smartwatch Garmin;Kristi Lowery;feminino;boleto
2025-07-14 18:26:48.081624;45;São Paulo;Lucas Pereira;Tablet Apple Ipad;Robert Liles;masculino;pix
2025-07-14 19:11:50.781542;46;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Anthony Torres;masculino;cartão de crédito
2025-07-14 20:54:55.145581;47;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Theresa Haugen;feminino;pix
2025-07-14 23:57:48.930513;48;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Marjorie Nuss;feminino;cartão de crédito
2025-07-15 14:48:48.612800;49;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Tyrone Berg;masculino;dinheiro
2025-07-15 15:09:48.178864;50;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;John Shull;masculino;pix
2025-07-15 15:20:50.916639;51;Florianópolis;Gabriela Santos;Smartwatch Garmin;Nicole Stephens;feminino;pix
2025-07-15 17:32:48.129113;52;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Victoria Carr;feminino;pix
2025-07-15 18:45:50.899334;53;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Margaret Pua;feminino;boleto
2025-07-15 19:00:52.661505;54;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Sung Sallie;masculino;dinheiro
2025-07-15 19:04:54.347838;55;São Paulo;Lucas Pereira;Tablet Apple Ipad;Beverly Main;feminino;dinheiro
2025-07-15 19:38:48.167113;56;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Beverly Fontaine;feminino;cartão de crédito
2025-07-15 21:03:52.865978;57;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Thomas Lacroix;masculino;cartão de crédito
2025-07-15 21:42:54.160070;58;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Katie Flowers;feminino;pix
2025-07-16 16:33:51.140300;59;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Maureen Woodberry;feminino;pix
2025-07-16 18:31:49.348443;60;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Edward Casey;masculino;pix
2025-07-16 19:29:49.841687;61;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Kenneth Cogar;masculino;pix
2025-07-16 19:30:54.850030;62;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Fay Tyler;feminino;boleto
2025-07-16 20:52:51.013536;63;São Paulo;Lucas Pereira;Tablet Apple Ipad;James Lopeman;masculino;boleto
2025-07-16 23:07:55.231301;64;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Roxie Earnest;feminino;cartão de crédito
